date,iso_week,open,high,low,close,volume,market_capitalization,close_point_relative_normalization,volume_point_relative_normalization
2016-01-01,2016-00,430.72,436.25,427.51,434.33,36278900.0,6473530000.0,0.0,0.0
2016-01-02,2016-00,434.62,436.06,431.87,433.44,30096600.0,6533630000.0,-0.0020491331476065744,-0.1704103487150933
2016-01-03,2016-01,433.58,433.74,424.71,430.01,39633800.0,6519500000.0,0.0,0.0
2016-01-04,2016-01,430.06,434.52,429.08,433.09,38477500.0,6468180000.0,0.007162624125020223,-0.029174593402600757
2016-01-05,2016-01,433.07,434.18,429.68,431.96,34522600.0,6515380000.0,0.0045347782609705956,-0.1289606346098532
2016-01-06,2016-01,431.86,431.86,426.34,429.11,34042500.0,6498830000.0,-0.0020929745819864287,-0.1410740327700094
2016-01-07,2016-01,430.01,458.77,429.08,458.05,87562200.0,6472580000.0,0.06520778586544496,1.2092809672552214
2016-01-08,2016-01,457.54,462.93,447.94,453.23,56993000.0,6888600000.0,0.05399874421525097,0.43798979658776105
2016-01-09,2016-01,453.38,454.64,446.89,447.61,32278000.0,6828000000.0,0.04092928071440194,-0.18559411411472027
2016-01-10,2016-02,448.24,448.31,440.35,447.99,35995900.0,6752210000.0,0.0,0.0
2016-01-11,2016-02,448.7,450.66,443.86,448.43,40450000.0,6761090000.0,0.0009821647804637568,0.12373909250775772
2016-01-12,2016-02,448.18,448.18,435.69,435.69,115607000.0,6755220000.0,-0.02745596999933042,2.2116713292347185
2016-01-13,2016-02,434.67,435.19,424.44,432.37,173888000.0,6553350000.0,-0.034866849706466696,3.8307723935225955
2016-01-14,2016-02,432.29,433.32,427.85,430.31,43945500.0,6519110000.0,-0.03946516663318378,0.22084737428429357
2016-01-15,2016-02,430.25,430.25,364.33,364.33,153351000.0,6489870000.0,-0.18674523984910385,3.260235193452588
2016-01-16,2016-02,365.07,390.56,354.91,387.54,120352000.0,5507790000.0,-0.13493604767963563,2.343491897688348
2016-01-17,2016-03,387.15,390.96,380.09,382.3,45319600.0,5842270000.0,0.0,0.0
2016-01-18,2016-03,381.73,388.1,376.67,387.17,54403900.0,5761940000.0,0.012738686895108486,0.20044969505467836
2016-01-19,2016-03,387.03,387.73,378.97,380.15,46819800.0,5843510000.0,-0.00562385561077694,0.03310267522219967
2016-01-20,2016-03,379.74,425.27,376.6,420.23,121720000.0,5734760000.0,0.09921527596128699,1.6858136435449564
2016-01-21,2016-03,419.63,422.88,406.3,410.26,68338000.0,6338800000.0,0.07313628040805642,0.5079126911976275
2016-01-22,2016-03,409.75,410.41,375.28,382.49,91546600.0,6190940000.0,0.0004969918911850169,1.020022242032145
2016-01-23,2016-03,382.43,394.54,381.98,387.49,56247400.0,5779890000.0,0.013575725869735766,0.24112745920087564
2016-01-24,2016-04,388.1,405.49,387.51,402.97,54824800.0,5867300000.0,0.0,0.0
2016-01-25,2016-04,402.32,402.32,388.55,391.73,59062400.0,6083900000.0,-0.027892895252748406,0.07729348761874189
2016-01-26,2016-04,392.0,397.77,390.57,392.15,58147000.0,5929520000.0,-0.026850634042236532,0.060596664283317114
2016-01-27,2016-04,392.44,396.84,391.78,394.97,47424400.0,5937780000.0,-0.0198525944859419,-0.1349827085552524
2016-01-28,2016-04,395.15,395.5,379.74,380.29,59247900.0,5980180000.0,-0.05628210536764522,0.08067699289372698
2016-01-29,2016-04,380.11,384.38,365.45,379.47,86125300.0,5753970000.0,-0.05831699630245424,0.570918635362099
2016-01-30,2016-04,378.87,380.92,376.49,378.25,30284400.0,5736760000.0,-0.061344516961560513,-0.44761494797974644
2016-01-31,2016-05,378.29,380.35,367.83,368.77,37894300.0,5729870000.0,0.0,0.0
2016-02-01,2016-05,369.35,378.07,367.96,373.06,51656700.0,5596090000.0,0.011633267348211573,0.36317863108699733
2016-02-02,2016-05,372.92,375.88,372.92,374.45,40378700.0,5651690000.0,0.015402554437725424,0.06556131133178345
2016-02-03,2016-05,374.65,374.95,368.05,369.95,45933400.0,5679530000.0,0.003199826450090759,0.21214536223125902
2016-02-04,2016-05,370.17,391.61,369.99,389.59,69285500.0,5613380000.0,0.05645795482278926,0.8283884383667202
2016-02-05,2016-05,388.9,391.09,385.57,386.55,43825000.0,5898960000.0,0.04821433413780962,0.15650638750418921
2016-02-06,2016-05,386.59,386.63,372.39,376.52,49249300.0,5865740000.0,0.021015809312037392,0.2996492876237322
2016-02-07,2016-06,376.51,380.87,374.9,376.62,37076300.0,5714760000.0,0.0,0.0
2016-02-08,2016-06,376.76,379.88,373.33,373.45,47671100.0,5720100000.0,-0.00841697201423186,0.28575666935481703
2016-02-09,2016-06,373.42,377.25,372.9,376.03,55318500.0,5670880000.0,-0.0015665657692104373,0.4920178119175862
2016-02-10,2016-06,376.15,385.48,375.78,381.65,85130900.0,5713880000.0,0.013355636981572827,1.2961002041735554
2016-02-11,2016-06,382.11,383.13,376.4,379.65,74375600.0,5806110000.0,0.008045244543571695,1.0060146238972068
2016-02-12,2016-06,379.69,384.95,379.6,384.26,67042800.0,5771040000.0,0.020285699113164357,0.8082386861687925
2016-02-13,2016-06,384.64,391.86,384.64,391.86,61911700.0,5847990000.0,0.040465190377569016,0.6698456965770587
2016-02-14,2016-07,392.93,407.23,392.93,407.23,74469800.0,5975580000.0,0.0,0.0
2016-02-15,2016-07,407.57,410.38,397.75,400.19,74070500.0,6199850000.0,-0.017287527932618008,-0.005361905094414143
2016-02-16,2016-07,401.43,408.94,401.43,407.49,73093100.0,6108040000.0,0.0006384598384205908,-0.018486688563686182
2016-02-17,2016-07,407.66,421.17,406.78,416.32,83193600.0,6204150000.0,0.022321538197087598,0.11714547373566186
2016-02-18,2016-07,416.57,426.0,415.64,422.37,76752600.0,6341430000.0,0.03717800751418121,0.03065403693846358
2016-02-19,2016-07,422.73,423.1,417.6,420.79,55711300.0,6436980000.0,0.03329813618839483,-0.25189405638258733
2016-02-20,2016-07,421.6,441.98,421.6,437.16,93992100.0,6421310000.0,0.07349654986125786,0.26215056304703377
2016-02-21,2016-08,437.77,448.05,429.08,438.8,89820700.0,6669260000.0,0.0,0.0
2016-02-22,2016-08,438.99,439.05,432.92,437.75,85385200.0,6689200000.0,-0.0023928896991796123,-0.04938171267870328
2016-02-23,2016-08,438.25,439.86,417.82,420.74,85244900.0,6679400000.0,-0.04115770282588882,-0.05094371342018045
2016-02-24,2016-08,420.96,425.55,413.91,424.95,67743700.0,6417190000.0,-0.031563354603464044,-0.2457896676378608
2016-02-25,2016-08,425.04,427.72,420.42,424.54,70798000.0,6480650000.0,-0.03249772105742932,-0.21178525662792658
2016-02-26,2016-08,424.63,432.15,421.62,432.15,61486000.0,6476080000.0,-0.0151549680948041,-0.31545846336089567
2016-02-27,2016-08,432.84,434.23,428.1,432.52,41893600.0,6602810000.0,-0.014311759343664576,-0.5335863559290899
2016-02-28,2016-09,432.57,435.68,423.82,433.5,53033400.0,6600310000.0,0.0,0.0
2016-02-29,2016-09,433.44,441.51,431.69,437.7,60694700.0,6614980000.0,0.009688581314878819,0.14446179200277554
2016-03-01,2016-09,437.92,439.65,432.32,435.12,74895800.0,6684800000.0,0.003737024221453389,0.4122383252818036
2016-03-02,2016-09,435.13,435.92,423.99,423.99,74955300.0,6643810000.0,-0.021937716262975804,0.4133602597608299
2016-03-03,2016-09,423.91,425.37,419.41,421.65,100484000.0,6474150000.0,-0.02733564013840839,0.8947304905964921
2016-03-04,2016-09,421.84,425.18,410.94,410.94,90856100.0,6443890000.0,-0.05204152249134952,0.7131864070566851
2016-03-05,2016-09,410.78,411.26,394.04,400.57,135385000.0,6276610000.0,-0.07596309111880051,1.5528252007225634
2016-03-06,2016-10,400.52,411.91,395.78,407.71,91212500.0,6121400000.0,0.0,0.0
2016-03-07,2016-10,407.76,415.92,406.31,414.32,85762400.0,6233430000.0,0.016212503985676197,-0.05975167877209808
2016-03-08,2016-10,414.46,416.24,411.09,413.97,70311700.0,6337370000.0,0.015354050673272779,-0.22914403179388787
2016-03-09,2016-10,413.89,416.03,411.61,414.86,70012300.0,6330230000.0,0.017536974810527184,-0.23242647663423321
2016-03-10,2016-10,414.74,417.51,413.25,417.13,81022900.0,6344960000.0,0.02310465772240078,-0.11171275866794572
2016-03-11,2016-10,417.24,423.93,417.01,421.69,73969700.0,6384740000.0,0.03428907802114245,-0.18903987940249423
2016-03-12,2016-10,421.61,421.8,410.09,411.62,92712900.0,6453260000.0,0.00959014986142126,0.016449499794435996
2016-03-13,2016-11,411.65,416.6,411.64,414.06,74322800.0,6302330000.0,0.0,0.0
2016-03-14,2016-11,414.2,416.68,414.2,416.44,95259400.0,6342780000.0,0.005747959232961453,0.28169821373791093
2016-03-15,2016-11,416.39,418.13,414.99,416.83,66781700.0,6377870000.0,0.006689851712312178,-0.10146415366482431
2016-03-16,2016-11,416.89,417.69,415.91,417.01,65185800.0,6387190000.0,0.007124571318166462,-0.1229367031382026
2016-03-17,2016-11,417.89,421.0,417.89,420.62,83528600.0,6404130000.0,0.015843114524465074,0.12386239485057082
2016-03-18,2016-11,420.55,420.55,406.14,409.55,104940000.0,6446330000.0,-0.010892141235569697,0.41194895778953433
2016-03-19,2016-11,409.26,410.98,407.23,410.44,58423000.0,6274790000.0,-0.008742694295512776,-0.21392896930686145
2016-03-20,2016-12,410.4,414.63,410.4,413.75,45947900.0,6293610000.0,0.0,0.0
2016-03-21,2016-12,413.42,413.42,410.38,413.31,61655400.0,6341380000.0,-0.0010634441087613578,0.3418545787729146
2016-03-22,2016-12,413.13,418.38,412.53,418.09,66813300.0,6338430000.0,0.01048942598187308,0.45410998108727485
2016-03-23,2016-12,418.16,419.27,417.36,418.04,61444200.0,6417130000.0,0.01036858006042296,0.3372580683774449
2016-03-24,2016-12,418.42,418.68,415.49,416.39,68346700.0,6422730000.0,0.0063806646525679245,0.4874825617710494
2016-03-25,2016-12,416.51,418.08,415.56,417.18,52560000.0,6394850000.0,0.008290030211480337,0.14390429159983364
2016-03-26,2016-12,417.37,418.99,416.26,417.94,44650400.0,6409500000.0,0.010126888217522723,-0.028238504915349738
2016-03-27,2016-13,418.14,428.8,417.71,426.76,71229400.0,6423040000.0,0.0,0.0
2016-03-28,2016-13,426.55,426.86,423.29,424.23,68522800.0,6553700000.0,-0.005928390664542094,-0.037998354612000074
2016-03-29,2016-13,424.3,426.2,412.68,416.52,75411500.0,6521010000.0,-0.02399475114818639,0.058713115651683134
2016-03-30,2016-13,416.83,416.83,412.5,414.82,66034100.0,6407840000.0,-0.02797825475677196,-0.07293757914568988
2016-03-31,2016-13,415.26,418.37,415.26,416.73,60215200.0,6385140000.0,-0.023502671290655086,-0.15462997020893055
2016-04-01,2016-13,416.76,418.17,415.83,417.96,51235700.0,6409540000.0,-0.020620489267972664,-0.28069448851176626
2016-04-02,2016-13,418.42,422.08,418.42,420.87,45681200.0,6436700000.0,-0.01380166838504071,-0.35867492917250465
2016-04-03,2016-14,421.17,421.58,419.7,420.9,38053700.0,6480470000.0,0.0,0.0
2016-04-04,2016-14,421.3,422.34,419.6,421.44,50634300.0,6483910000.0,0.0012829650748396038,0.3306012293154148
2016-04-05,2016-14,421.02,424.26,420.61,424.03,60718000.0,6481350000.0,0.0074364457115705385,0.5955872884896869
2016-04-06,2016-14,424.28,424.53,422.73,423.41,59091000.0,6533260000.0,0.005963411736754631,0.5528319191037927
2016-04-07,2016-14,423.62,423.66,420.52,422.75,57858600.0,6524680000.0,0.0043953433119505725,0.5204461064232913
2016-04-08,2016-14,422.91,425.36,419.63,420.35,63454700.0,6515190000.0,-0.0013067236873365307,0.6675040797609693
2016-04-09,2016-14,420.81,420.89,416.51,419.41,49792700.0,6484410000.0,-0.0035400332620574293,0.3084851144566756
2016-04-10,2016-15,419.59,422.44,419.26,421.56,73478600.0,6467330000.0,0.0,0.0
2016-04-11,2016-15,421.87,422.74,420.53,422.48,50747500.0,6504290000.0,0.0021823702438561465,-0.3093567378801447
2016-04-12,2016-15,422.84,427.28,422.84,425.19,70728800.0,6520870000.0,0.008610873896954141,-0.037423140887278716
2016-04-13,2016-15,425.63,426.66,422.92,423.73,69060400.0,6565470000.0,0.0051475472056172755,-0.06012907159363412
2016-04-14,2016-15,423.94,425.37,423.01,424.28,45281000.0,6541030000.0,0.00645222506879195,-0.38375254836101935
2016-04-15,2016-15,424.43,429.93,424.43,429.71,54801500.0,6550350000.0,0.019332953790682117,-0.2541842114574856
2016-04-16,2016-15,429.57,432.63,428.98,430.57,39392800.0,6631310000.0,0.021372995540373863,-0.4638874447798407
2016-04-17,2016-16,430.64,431.37,426.08,427.4,52125900.0,6649170000.0,0.0,0.0
2016-04-18,2016-16,427.61,429.27,427.09,428.59,55670900.0,6604150000.0,0.0027842770238653003,0.06800841808007152
2016-04-19,2016-16,428.7,436.02,428.1,435.51,52810500.0,6622450000.0,0.01897519887693022,0.013133586182684676
2016-04-20,2016-16,435.32,443.05,434.41,441.39,72890100.0,6726370000.0,0.032732802994852594,0.39834707889935705
2016-04-21,2016-16,441.42,450.55,440.95,449.43,68204700.0,6822320000.0,0.05154422087037913,0.3084608611074342
2016-04-22,2016-16,449.69,449.81,444.15,445.74,58804400.0,6951860000.0,0.04291062236780552,0.1281224880529641
2016-04-23,2016-16,445.86,450.28,444.33,450.28,50485400.0,6894280000.0,0.05353299017313984,-0.03147187866300627
2016-04-24,2016-17,450.56,460.15,448.93,458.56,68198400.0,6968570000.0,0.0,0.0
2016-04-25,2016-17,459.12,466.62,453.59,461.43,87091800.0,7102490000.0,0.006258722958827567,0.2770358248873874
2016-04-26,2016-17,461.65,467.96,461.62,466.09,78971900.0,7143060000.0,0.01642096999302156,0.1579729143205706
2016-04-27,2016-17,466.26,467.08,444.13,444.69,93564900.0,7216190000.0,-0.030246859734822107,0.3719515413851351
2016-04-28,2016-17,445.04,449.55,436.65,449.01,74064700.0,6889170000.0,-0.02082606420097699,0.08601814705330324
2016-04-29,2016-17,449.41,455.38,446.02,455.1,49258500.0,6958330000.0,-0.007545359385903616,-0.2777176590653153
